Tool and replicate,FP_class (called more than 30% of features significant),% of significant features,Tool,normalized depth difference,geometric mean difference,mean depth across dataset,dataset
limma voom (TMM).63,FALSE,0.00152446,limma voom (TMM),0.001606954,0.000573592,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).64,FALSE,0,limma voom (TMM),0.034175892,0.000112328,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).65,FALSE,0,limma voom (TMM),0.039497083,0.000713566,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).66,FALSE,0,limma voom (TMM),0.038278077,0.000473726,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).67,FALSE,0,limma voom (TMM),0.059052624,0.001216738,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).68,FALSE,0,limma voom (TMM),0.088826893,0.001358643,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).69,FALSE,0,limma voom (TMM),0.100110173,0.000336985,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).70,FALSE,0,limma voom (TMM),0.058551559,0.000212872,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).71,FALSE,0,limma voom (TMM),0.033558922,0.000810103,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
limma voom (TMM).72,FALSE,0,limma voom (TMM),0.126550158,0.002053621,8499.526539,Freshwater - Arctic
